X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed,course,hAcc,vAcc
37.685089,55.76537,0,0,0,146.670151,2023/03/03 12:57:19+00,,,,,,,,,,,,,,,,,,,,,,0.249437,103.951214,3.127947,1.486942
37.685092,55.765369,0,0,1,146.682946,2023/03/03 12:57:20+00,,,,,,,,,,,,,,,,,,,,,,0.25049,104.202294,2.505558,1.338834
37.685095,55.765369,0,0,2,146.693712,2023/03/03 12:57:21+00,,,,,,,,,,,,,,,,,,,,,,0.229481,104.67985,2.151725,1.187345
37.685099,55.765368,0,0,3,146.700226,2023/03/03 12:57:22+00,,,,,,,,,,,,,,,,,,,,,,0.197788,104.288179,2.064231,1.071508
37.685102,55.765368,0,0,4,146.705792,2023/03/03 12:57:23+00,,,,,,,,,,,,,,,,,,,,,,0.16436,101.709054,2.052416,0.985664
37.685104,55.765368,0,0,5,146.713066,2023/03/03 12:57:24+00,,,,,,,,,,,,,,,,,,,,,,0.12975,96.087564,2.048458,0.924254
37.685106,55.765368,0,0,6,146.723911,2023/03/03 12:57:25+00,,,,,,,,,,,,,,,,,,,,,,0.089803,84.77128,2.041959,0.881931
37.685107,55.765368,0,0,7,146.738798,2023/03/03 12:57:25+00,,,,,,,,,,,,,,,,,,,,,,0.051387,49.426139,2.035627,0.853823
37.685107,55.765368,0,0,8,146.759089,2023/03/03 12:57:26+00,,,,,,,,,,,,,,,,,,,,,,0.064581,339.821885,2.031618,0.835794
37.685106,55.765369,0,0,9,146.783274,2023/03/03 12:57:27+00,,,,,,,,,,,,,,,,,,,,,,0.130538,310.291426,2.029989,0.824554
37.685104,55.76537,0,0,10,146.812566,2023/03/03 12:57:28+00,,,,,,,,,,,,,,,,,,,,,,0.216193,297.606121,2.029896,0.81765
37.6851,55.765371,0,0,11,146.847319,2023/03/03 12:57:29+00,,,,,,,,,,,,,,,,,,,,,,0.307819,290.639926,2.030542,0.813373
37.685095,55.765372,0,0,12,146.885765,2023/03/03 12:57:30+00,,,,,,,,,,,,,,,,,,,,,,0.395286,286.52889,2.031432,0.810563
37.685088,55.765373,0,0,13,146.928204,2023/03/03 12:57:31+00,,,,,,,,,,,,,,,,,,,,,,0.474946,283.829999,2.032312,0.808516
37.68508,55.765374,0,0,14,146.975451,2023/03/03 12:57:32+00,,,,,,,,,,,,,,,,,,,,,,0.545149,281.63411,2.033097,0.806819
37.685071,55.765375,0,0,15,147.025976,2023/03/03 12:57:33+00,,,,,,,,,,,,,,,,,,,,,,0.595242,279.576759,2.033768,0.805273
37.685062,55.765375,0,0,16,147.078746,2023/03/03 12:57:34+00,,,,,,,,,,,,,,,,,,,,,,0.618273,277.576994,2.034281,0.803769
37.685052,55.765376,0,0,17,147.135876,2023/03/03 12:57:35+00,,,,,,,,,,,,,,,,,,,,,,0.61873,275.608631,2.034607,0.802294
37.685042,55.765376,0,0,18,147.195439,2023/03/03 12:57:36+00,,,,,,,,,,,,,,,,,,,,,,0.597125,273.54443,2.034786,0.800868
37.685033,55.765377,0,0,19,147.256309,2023/03/03 12:57:37+00,,,,,,,,,,,,,,,,,,,,,,0.554676,271.178374,2.034911,0.799521
37.685025,55.765377,0,0,20,147.319378,2023/03/03 12:57:38+00,,,,,,,,,,,,,,,,,,,,,,0.494978,268.528266,2.035062,0.79825
37.685018,55.765376,0,0,21,147.382125,2023/03/03 12:57:39+00,,,,,,,,,,,,,,,,,,,,,,0.424733,265.762926,2.035297,0.797104
37.685011,55.765376,0,0,22,147.444068,2023/03/03 12:57:40+00,,,,,,,,,,,,,,,,,,,,,,0.355205,263.33644,2.035634,0.796063
37.685006,55.765376,0,0,23,147.505469,2023/03/03 12:57:41+00,,,,,,,,,,,,,,,,,,,,,,0.305792,263.383108,2.035997,0.795132
37.685001,55.765376,0,0,24,147.566217,2023/03/03 12:57:42+00,,,,,,,,,,,,,,,,,,,,,,0.289159,268.38518,2.036313,0.794305
37.684996,55.765376,0,0,25,147.625166,2023/03/03 12:57:43+00,,,,,,,,,,,,,,,,,,,,,,0.313231,276.649889,2.036589,0.793583
37.684991,55.765376,0,0,26,147.682805,2023/03/03 12:57:44+00,,,,,,,,,,,,,,,,,,,,,,0.366698,283.658109,2.036845,0.792943
37.684985,55.765377,0,0,27,147.736949,2023/03/03 12:57:45+00,,,,,,,,,,,,,,,,,,,,,,0.418556,288.040239,2.037035,0.792385
37.684979,55.765379,0,0,28,147.790275,2023/03/03 12:57:46+00,,,,,,,,,,,,,,,,,,,,,,0.436484,290.936856,2.037164,0.791874
37.684972,55.76538,0,0,29,147.841947,2023/03/03 12:57:47+00,,,,,,,,,,,,,,,,,,,,,,0.402012,293.514554,2.037341,0.791395
37.684967,55.765381,0,0,30,147.894716,2023/03/03 12:57:48+00,,,,,,,,,,,,,,,,,,,,,,0.308948,295.832954,2.037653,0.790948
37.684964,55.765382,0,0,31,147.948369,2023/03/03 12:57:49+00,,,,,,,,,,,,,,,,,,,,,,0.167069,295.723604,2.038115,0.790526
37.684963,55.765383,0,0,32,148.002687,2023/03/03 12:57:50+00,,,,,,,,,,,,,,,,,,,,,,0.020883,181.586736,2.038733,0.790136
37.684964,55.765382,0,0,33,148.05949,2023/03/03 12:57:51+00,,,,,,,,,,,,,,,,,,,,,,0.189153,131.073625,2.039413,0.789779
37.684967,55.76538,0,0,34,148.119206,2023/03/03 12:57:52+00,,,,,,,,,,,,,,,,,,,,,,0.318162,130.608792,2.040003,0.789462
37.684971,55.765378,0,0,35,148.181572,2023/03/03 12:57:53+00,,,,,,,,,,,,,,,,,,,,,,0.372887,132.221631,2.040438,0.789188
37.684975,55.765376,0,0,36,148.247763,2023/03/03 12:57:54+00,,,,,,,,,,,,,,,,,,,,,,0.354723,136.541491,2.040763,0.788968
37.684978,55.765374,0,0,37,148.316849,2023/03/03 12:57:55+00,,,,,,,,,,,,,,,,,,,,,,0.290974,146.20985,2.04106,0.788802
37.68498,55.765372,0,0,38,148.389734,2023/03/03 12:57:56+00,,,,,,,,,,,,,,,,,,,,,,0.226287,166.249525,2.041359,0.788697
37.68498,55.76537,0,0,39,148.465046,2023/03/03 12:57:57+00,,,,,,,,,,,,,,,,,,,,,,0.211872,195.984751,2.041554,0.788658
37.684978,55.765368,0,0,40,148.544051,2023/03/03 12:57:58+00,,,,,,,,,,,,,,,,,,,,,,0.245912,216.640078,2.041514,0.788685
37.684976,55.765366,0,0,41,148.625553,2023/03/03 12:57:59+00,,,,,,,,,,,,,,,,,,,,,,0.277255,223.773279,2.041229,0.788776
37.684973,55.765364,0,0,42,148.705694,2023/03/03 12:58:00+00,,,,,,,,,,,,,,,,,,,,,,0.285588,222.615065,2.040801,0.78892
37.68497,55.765363,0,0,43,148.783442,2023/03/03 12:58:01+00,,,,,,,,,,,,,,,,,,,,,,0.271963,215.079942,2.04036,0.789106
37.684968,55.76536,0,0,44,148.858817,2023/03/03 12:58:02+00,,,,,,,,,,,,,,,,,,,,,,0.245583,202.59294,2.040009,0.789322
37.684967,55.765359,0,0,45,148.928146,2023/03/03 12:58:03+00,,,,,,,,,,,,,,,,,,,,,,0.21733,188.178603,2.039812,0.789556
37.684967,55.765357,0,0,46,148.991125,2023/03/03 12:58:05+00,,,,,,,,,,,,,,,,,,,,,,0.189592,174.739443,2.039514,0.789796
37.684967,55.765355,0,0,47,149.044788,2023/03/03 12:58:06+00,,,,,,,,,,,,,,,,,,,,,,0.160543,162.519972,2.039075,0.790016
37.684968,55.765354,0,0,48,149.089588,2023/03/03 12:58:07+00,,,,,,,,,,,,,,,,,,,,,,0.13593,149.024796,2.038693,0.790234
37.684969,55.765353,0,0,49,149.127144,2023/03/03 12:58:08+00,,,,,,,,,,,,,,,,,,,,,,0.125504,132.001845,2.038321,0.790431
37.684971,55.765352,0,0,50,149.156078,2023/03/03 12:58:09+00,,,,,,,,,,,,,,,,,,,,,,0.127767,114.039965,2.037979,0.790612
37.684973,55.765352,0,0,51,149.170992,2023/03/03 12:58:10+00,,,,,,,,,,,,,,,,,,,,,,0.133739,97.958362,2.037715,0.790775
37.684975,55.765352,0,0,52,149.172355,2023/03/03 12:58:11+00,,,,,,,,,,,,,,,,,,,,,,0.139752,85.124269,2.037555,0.790903
37.684978,55.765352,0,0,53,149.157797,2023/03/03 12:58:12+00,,,,,,,,,,,,,,,,,,,,,,0.139594,76.850868,2.037485,0.791001
37.68498,55.765353,0,0,54,149.126266,2023/03/03 12:58:13+00,,,,,,,,,,,,,,,,,,,,,,0.128733,71.197685,2.037477,0.791079
37.684981,55.765353,0,0,55,149.082435,2023/03/03 12:58:14+00,,,,,,,,,,,,,,,,,,,,,,0.111099,63.397312,2.037494,0.791125
37.684983,55.765353,0,0,56,149.025456,2023/03/03 12:58:15+00,,,,,,,,,,,,,,,,,,,,,,0.094018,49.028237,2.037515,0.791151
37.684984,55.765354,0,0,57,148.95747,2023/03/03 12:58:16+00,,,,,,,,,,,,,,,,,,,,,,0.085697,27.804282,2.037557,0.791164
37.684984,55.765355,0,0,58,148.876866,2023/03/03 12:58:17+00,,,,,,,,,,,,,,,,,,,,,,0.093736,5.631198,2.037633,0.791168
37.684984,55.765356,0,0,59,148.786381,2023/03/03 12:58:18+00,,,,,,,,,,,,,,,,,,,,,,0.119692,351.961171,2.037716,0.791164
